|∑|,|s1|,|s2|,Fração de operações conservativas,CG_Best_objective,CG_Best_bound,CG_Gap,CG_Tempo_estruturas,CG_Tempo_modelo,CG_Tempo_total,CS_Best_objective,CS_Best_bound,CS_Gap,CS_Tempo_estruturas,CS_Tempo_modelo,CS_Tempo_total,CB_Best_objective,CB_Best_bound,CB_Gap,CB_Tempo_estruturas,CB_Tempo_modelo,CB_Tempo_total
40,30,30,1,2.400000000000e+01,2.400000000000e+01,0.0000%,0.076559,0.017806,0.094365,2.400000000000e+01,2.400000000000e+01,0.0000%,0.019629,0.014307,0.033936,2.400000000000e+01,2.400000000000e+01,0.0000%,0.018370,0.022407,0.040778
40,30,30,2,2.700000000000e+01,2.700000000000e+01,0.0000%,0.074986,0.017905,0.092891,2.700000000000e+01,2.700000000000e+01,0.0000%,0.019063,0.012192,0.031256,2.700000000000e+01,2.700000000000e+01,0.0000%,0.015348,0.015614,0.030962
40,30,30,3,2.500000000000e+01,2.500000000000e+01,0.0000%,0.080436,0.022244,0.102680,2.500000000000e+01,2.500000000000e+01,0.0000%,0.028307,0.016793,0.045100,2.500000000000e+01,2.500000000000e+01,0.0000%,0.024051,0.024212,0.048263
40,30,30,4,2.600000000000e+01,2.600000000000e+01,0.0000%,0.076180,0.019885,0.096064,2.600000000000e+01,2.600000000000e+01,0.0000%,0.019129,0.014668,0.033797,2.600000000000e+01,2.600000000000e+01,0.0000%,0.017514,0.018803,0.036317
40,30,30,5,2.400000000000e+01,2.400000000000e+01,0.0000%,0.075706,0.017643,0.093349,2.400000000000e+01,2.400000000000e+01,0.0000%,0.021246,0.012547,0.033792,2.400000000000e+01,2.400000000000e+01,0.0000%,0.016259,0.014390,0.030650
30,40,40,1,2.700000000000e+01,2.700000000000e+01,0.0000%,0.127586,0.020637,0.148223,2.700000000000e+01,2.700000000000e+01,0.0000%,0.064874,0.012549,0.077423,2.700000000000e+01,2.700000000000e+01,0.0000%,0.064162,0.016670,0.080832
30,40,40,2,2.600000000000e+01,2.600000000000e+01,0.0000%,0.077536,0.017441,0.094977,2.600000000000e+01,2.600000000000e+01,0.0000%,0.020465,0.014799,0.035264,2.600000000000e+01,2.600000000000e+01,0.0000%,0.015548,0.017968,0.033516
30,40,40,3,2.800000000000e+01,2.800000000000e+01,0.0000%,0.077894,0.026058,0.103952,2.800000000000e+01,2.800000000000e+01,0.0000%,0.019855,0.018354,0.038209,2.800000000000e+01,2.800000000000e+01,0.0000%,0.016914,0.045804,0.062718
30,40,40,4,2.400000000000e+01,2.400000000000e+01,0.0000%,0.080454,0.024313,0.104766,2.400000000000e+01,2.400000000000e+01,0.0000%,0.023801,0.017282,0.041083,2.400000000000e+01,2.400000000000e+01,0.0000%,0.018225,0.016606,0.034831
30,40,40,5,2.600000000000e+01,2.600000000000e+01,0.0000%,0.077441,0.014566,0.092007,2.600000000000e+01,2.600000000000e+01,0.0000%,0.020097,0.011872,0.031968,2.600000000000e+01,2.600000000000e+01,0.0000%,0.016062,0.015423,0.031485
15,60,60,0.6,4.500000000000e+01,4.500000000000e+01,0.0000%,0.337298,0.010376,0.347674,4.500000000000e+01,4.500000000000e+01,0.0000%,0.086324,0.009571,0.095895,4.500000000000e+01,4.500000000000e+01,0.0000%,0.084809,0.017061,0.101870
15,60,60,0.8,4.800000000000e+01,4.800000000000e+01,0.0000%,0.284235,0.010625,0.294861,4.800000000000e+01,4.800000000000e+01,0.0000%,0.034729,0.008790,0.043519,4.800000000000e+01,4.800000000000e+01,0.0000%,0.034633,0.017993,0.052625
15,60,60,0.6,4.600000000000e+01,4.600000000000e+01,0.0000%,0.284496,0.009434,0.293930,4.600000000000e+01,4.600000000000e+01,0.0000%,0.039016,0.008714,0.047731,4.600000000000e+01,4.600000000000e+01,0.0000%,0.034134,0.016950,0.051084
15,60,60,0.8,4.600000000000e+01,4.600000000000e+01,0.0000%,0.285550,0.010297,0.295847,4.600000000000e+01,4.600000000000e+01,0.0000%,0.039657,0.009050,0.048707,4.600000000000e+01,4.600000000000e+01,0.0000%,0.034385,0.015953,0.050338
15,60,60,0.6,4.600000000000e+01,4.600000000000e+01,0.0000%,0.285708,0.013440,0.299148,4.600000000000e+01,4.600000000000e+01,0.0000%,0.043085,0.010464,0.053549,4.600000000000e+01,4.600000000000e+01,0.0000%,0.034510,0.016119,0.050629
